type,subtype,bedroomCount,bathroomCount,province,postCode,habitableSurface,buildingCondition,facedeCount,hasTerrace,epcScore,price,price_per_m2
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,100.0,GOOD,1.0,1,C,399000.0,3990.0
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,87.0,AS_NEW,2.0,1,F,465000.0,5344.83
APARTMENT,APARTMENT,2.0,2.0,Brussels,1040,104.0,AS_NEW,2.0,1,B,590000.0,5673.08
APARTMENT,FLAT_STUDIO,1.0,1.0,Brussels,1040,71.0,AS_NEW,2.0,0,E,289000.0,4070.42
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,90.0,TO_BE_DONE_UP,2.0,1,D,375000.0,4166.67
APARTMENT,DUPLEX,3.0,2.0,Brussels,1040,220.0,JUST_RENOVATED,2.0,1,D,950000.0,4318.18
APARTMENT,DUPLEX,3.0,2.0,Brussels,1040,220.0,JUST_RENOVATED,2.0,1,D,950000.0,4318.18
APARTMENT,DUPLEX,2.0,1.0,Brussels,1040,187.0,AS_NEW,2.0,1,C,795000.0,4251.34
APARTMENT,APARTMENT,1.0,1.0,Brussels,1040,93.0,TO_BE_DONE_UP,2.0,1,F,297000.0,3193.55
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,120.0,GOOD,2.0,1,G,435000.0,3625.0
APARTMENT,APARTMENT,3.0,1.0,Brussels,1040,119.0,TO_RENOVATE,2.0,1,E,370000.0,3109.24
APARTMENT,PENTHOUSE,2.0,1.0,Brussels,1040,137.0,AS_NEW,2.0,1,B,735000.0,5364.96
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,110.0,TO_BE_DONE_UP,2.0,1,E,360000.0,3272.73
APARTMENT,APARTMENT,3.0,1.0,Brussels,1040,100.0,GOOD,2.0,1,C,449000.0,4490.0
APARTMENT,PENTHOUSE,3.0,1.0,Brussels,1040,198.0,AS_NEW,3.0,1,B,995000.0,5025.25
APARTMENT,APARTMENT,4.0,4.0,Brussels,1040,335.0,JUST_RENOVATED,3.0,1,E,1450000.0,4328.36
APARTMENT,APARTMENT,1.0,1.0,Brussels,1040,61.0,AS_NEW,2.0,1,C,329000.0,5393.44
APARTMENT,PENTHOUSE,3.0,2.0,Brussels,1040,220.0,AS_NEW,3.0,1,C,950000.0,4318.18
APARTMENT,GROUND_FLOOR,2.0,1.0,Brussels,1040,106.0,GOOD,2.0,1,D,350000.0,3301.89
APARTMENT,PENTHOUSE,2.0,1.0,Brussels,1040,187.0,JUST_RENOVATED,3.0,1,C,795000.0,4251.34
APARTMENT,APARTMENT,1.0,1.0,Brussels,1040,52.0,TO_RENOVATE,2.0,0,G,198000.0,3807.69
APARTMENT,APARTMENT,3.0,2.0,Brussels,1040,198.0,GOOD,2.0,1,B,995000.0,5025.25
APARTMENT,DUPLEX,3.0,1.0,Brussels,1040,198.0,AS_NEW,2.0,1,B,995000.0,5025.25
APARTMENT,PENTHOUSE,0.0,0.0,Brussels,1040,229.0,GOOD,2.0,1,D,739000.0,3227.07
APARTMENT,APARTMENT,1.0,1.0,Brussels,1040,65.0,JUST_RENOVATED,2.0,1,F,325000.0,5000.0
APARTMENT,APARTMENT,2.0,2.0,Brussels,1040,155.0,JUST_RENOVATED,2.0,1,C,900000.0,5806.45
APARTMENT,APARTMENT,1.0,1.0,Brussels,1040,80.0,TO_RENOVATE,2.0,1,F,230000.0,2875.0
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,101.0,AS_NEW,2.0,0,C,425000.0,4207.92
APARTMENT,APARTMENT,2.0,2.0,Brussels,1040,93.0,AS_NEW,2.0,0,C,450000.0,4838.71
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,100.0,TO_BE_DONE_UP,2.0,1,F,315000.0,3150.0
